+----------+----------+---------+-------+
|   Time   |    X     |    Y    | Event |
+----------+----------+---------+-------+
|  0.000   | -67.649  | -41.714 |  init |
|  20.967  | -67.649  | -41.714 |  gps  |
|  21.819  | -67.649  | -41.714 | laser |
|  21.965  | -67.649  | -41.714 |  odo  |
|  21.968  | -67.650  | -41.713 |  gps  |
|  21.990  | -67.650  | -41.713 |  odo  |
|  22.015  | -67.650  | -41.713 |  odo  |
|  22.033  | -67.650  | -41.713 | laser |
|  22.040  | -67.650  | -41.713 |  odo  |
|  22.065  | -67.650  | -41.713 |  odo  |
|  22.090  | -67.650  | -41.713 |  odo  |
|  22.115  | -67.650  | -41.713 |  odo  |
|  22.140  | -67.650  | -41.713 |  odo  |
|  22.165  | -67.650  | -41.713 |  odo  |
|  22.168  | -67.650  | -41.715 |  gps  |
|  22.190  | -67.650  | -41.715 |  odo  |
|  22.215  | -67.650  | -41.715 |  odo  |
|  22.240  | -67.650  | -41.715 |  odo  |
|  22.246  | -67.650  | -41.715 | laser |
|  22.265  | -67.650  | -41.715 |  odo  |
|  22.290  | -67.650  | -41.715 |  odo  |
|  22.315  | -67.650  | -41.715 |  odo  |
|  22.340  | -67.650  | -41.715 |  odo  |
|  22.365  | -67.650  | -41.715 |  odo  |
|  22.368  | -67.650  | -41.715 |  gps  |
|  22.390  | -67.650  | -41.715 |  odo  |
|  22.415  | -67.650  | -41.715 |  odo  |
|  22.440  | -67.650  | -41.715 |  odo  |
|  22.460  | -67.650  | -41.715 | laser |
|  22.465  | -67.650  | -41.715 |  odo  |
|  22.490  | -67.650  | -41.715 |  odo  |
|  22.515  | -67.650  | -41.715 |  odo  |
|  22.540  | -67.650  | -41.715 |  odo  |
|  22.565  | -67.650  | -41.715 |  odo  |
|  22.568  | -67.651  | -41.715 |  gps  |
|  22.590  | -67.651  | -41.715 |  odo  |
|  22.615  | -67.651  | -41.715 |  odo  |
|  22.640  | -67.651  | -41.715 |  odo  |
|  22.665  | -67.651  | -41.715 |  odo  |
|  22.673  | -67.651  | -41.715 | laser |
|  22.690  | -67.651  | -41.715 |  odo  |
|  22.715  | -67.651  | -41.715 |  odo  |
|  22.740  | -67.651  | -41.715 |  odo  |
|  22.765  | -67.651  | -41.715 |  odo  |
|  22.768  | -67.651  | -41.716 |  gps  |
|  22.790  | -67.651  | -41.716 |  odo  |
|  22.815  | -67.651  | -41.716 |  odo  |
|  22.840  | -67.651  | -41.716 |  odo  |
|  22.865  | -67.651  | -41.716 |  odo  |
|  22.887  | -67.651  | -41.716 | laser |
|  22.890  | -67.651  | -41.716 |  odo  |
|  22.915  | -67.651  | -41.716 |  odo  |
|  22.940  | -67.651  | -41.716 |  odo  |
|  22.965  | -67.651  | -41.716 |  odo  |
|  22.969  | -67.652  | -41.717 |  gps  |
|  22.990  | -67.652  | -41.717 |  odo  |
|  23.015  | -67.652  | -41.717 |  odo  |
|  23.040  | -67.652  | -41.717 |  odo  |
|  23.065  | -67.652  | -41.717 |  odo  |
|  23.090  | -67.652  | -41.717 |  odo  |
|  23.100  | -67.652  | -41.717 | laser |
|  23.115  | -67.652  | -41.717 |  odo  |
|  23.140  | -67.652  | -41.717 |  odo  |
|  23.165  | -67.652  | -41.717 |  odo  |
|  23.169  | -67.654  | -41.718 |  gps  |
|  23.190  | -67.654  | -41.718 |  odo  |
|  23.215  | -67.654  | -41.718 |  odo  |
|  23.240  | -67.654  | -41.718 |  odo  |
|  23.265  | -67.654  | -41.718 |  odo  |
|  23.290  | -67.654  | -41.718 |  odo  |
|  23.314  | -67.654  | -41.718 | laser |
|  23.315  | -67.654  | -41.718 |  odo  |
|  23.340  | -67.654  | -41.718 |  odo  |
|  23.365  | -67.654  | -41.718 |  odo  |
|  23.369  | -67.655  | -41.718 |  gps  |
|  23.390  | -67.655  | -41.718 |  odo  |
|  23.415  | -67.655  | -41.718 |  odo  |
|  23.440  | -67.655  | -41.718 |  odo  |
|  23.465  | -67.655  | -41.718 |  odo  |
|  23.490  | -67.655  | -41.718 |  odo  |
|  23.515  | -67.655  | -41.718 |  odo  |
|  23.528  | -67.655  | -41.718 | laser |
|  23.540  | -67.655  | -41.718 |  odo  |
|  23.565  | -67.655  | -41.718 |  odo  |
|  23.569  | -67.657  | -41.718 |  gps  |
|  23.590  | -67.657  | -41.718 |  odo  |
|  23.615  | -67.657  | -41.718 |  odo  |
|  23.640  | -67.657  | -41.718 |  odo  |
|  23.665  | -67.657  | -41.718 |  odo  |
|  23.690  | -67.657  | -41.718 |  odo  |
|  23.715  | -67.657  | -41.718 |  odo  |
|  23.740  | -67.657  | -41.718 |  odo  |
|  23.742  | -67.657  | -41.718 | laser |
|  23.765  | -67.657  | -41.718 |  odo  |
|  23.769  | -67.660  | -41.718 |  gps  |
|  23.790  | -67.660  | -41.718 |  odo  |
|  23.815  | -67.660  | -41.718 |  odo  |
|  23.840  | -67.660  | -41.718 |  odo  |
|  23.865  | -67.660  | -41.718 |  odo  |
|  23.890  | -67.660  | -41.718 |  odo  |
|  23.915  | -67.660  | -41.718 |  odo  |
|  23.940  | -67.660  | -41.718 |  odo  |
|  23.955  | -67.660  | -41.718 | laser |
|  23.965  | -67.660  | -41.718 |  odo  |
|  23.970  | -67.665  | -41.716 |  gps  |
|  23.990  | -67.665  | -41.716 |  odo  |
|  24.015  | -67.665  | -41.716 |  odo  |
|  24.040  | -67.665  | -41.716 |  odo  |
